Code,Description,CO2
123,Cessna C-340/335,50
149,Cessna C-401,50
125,Cessna C-402/402A/402B,50
152,Cessna C-411,50
121,Cessna C-421,50
418,Cessna C-441,50
35,Cessna C206/207/209/210 Stationair,50
415,Cessna C208B/Grand Caravan,50
653,Cessna CE-680 Citation Sovereign,50
636,Cessna Citation II/ Bravo,50
646,Cessna Citation X Model 650/550B/550XL,50
647,Cessna Citation X Model CE750 X,50
639,Cessna Citationjet/CJ1/CJ2/CJ3,50
421,Cessna Skycourier 408,50
120,Cessna T-50 (Bobcat),50
825,Convair 880 (CV-22/22m),50
830,Convair 990 Coronado (CV-30),50
140,Convair CV-240,50
143,Convair CV-340/440,50
420,Convair CV-540,50
430,Convair CV-580,50
435,Convair CV-600,50
440,Convair CV-640,50
445,Convair CV-660,50
150,Curtiss C46/20t/A/D/F/R Commando,50
774,Dassault Falcon 2000,50
682,Dassault Falcon 2000EX/2000lxs,50
771,Dassault Falcon 50,50
775,Dassault Falcon 7X,50
725,Dassault Falcon 8x,50
770,Dassault Falcon 900/900EX,50
776,Dassault Falcon Aviation 6x,50
681,Dassault-Breguet Mystere-Falcon,50
205,De Havilland DH-114 Heron,50
40,De Havilland DHC2 Beaver,50
42,De Havilland DHC3 Otter,50
153,De Havilland DHC4 Caribou,50
570,De Havilland DHC7 Dash-7,50
483,De Havilland DHC8-100 Dash-8,50
491,De Havilland DHC8-200Q Dash-8,50
484,De Havilland DHC8-300 Dash 8,50
482,De Havilland DHC8-400 Dash-8,50
174,De Havilland Dove DH-104,50
485,De Havilland Twin Otter DHC-6,50
395,DHC-6-400 Twin Otter,50
448,Dornier 228,50
449,Dornier 328,50
632,Dornier 328 Jet,50
161,Dornier Do-28 Skyservant,50
746,Emb500 Phenom 100/300,50
678,Embraer 190,50
464,Embraer EMB-110 Bandeirante,50
461,Embraer EMB-120 Brasilia,50
748,Embraer EMB195,50
673,Embraer ERJ-175,50
745,Embraer Legacy 500,50
755,Embraer Legacy 600,50
833,Embraer Legacy 650,50
754,Embraer Praetor 600,50
674,Embraer-135,50
676,Embraer-140,50
675,Embraer-145,50
677,Embraer-Emb-170,50
340,Eurocompter AS350 B2 AStar,50
167,Fairchild C-82A,50
455,Fairchild Metro 23,50
323,Fairchild-Hiller FH-1100,50
454,Fairchild-Hiller FH-227,50
93,Float/Amphib Piston-450+ Hp,50
92,Float/Amphib Piston-Lt 450 Hp,50
91,Float/Amphib Turbine,50
603,Fokker 100,50
452,Fokker 50,50
604,Fokker 70,50
601,Fokker F28-1000 Fellowship,50
602,Fokker F28-4000/6000 Fellowship,50
450,Fokker Friendship F-27/Fairchild F-27/A/B/F/J,50
660,Gates Learjet Lear-23,50
661,Gates Learjet Lear-24,50
662,Gates Learjet Lear-25,50
663,Gates Learjet Lear-31/35/36,50
26,Gipps Aero Ga8 Airvan,50
104,Grand Commander 680FL,50
679,Grumman G-1159 Gulfstream II/III,50
170,Grumman G-21A (Goose),50
460,Grumman G-21G (Turbo-Goose),50
172,Grumman G-44/44A (Widgeon),50
173,Grumman G-73 (Mallard),50
171,Grumman SA-16A-GR (Albatross),50
641,Gulfstream Aerospace G-III/G-IV,50
749,Gulfstream Aerospace G500,50
501,Gulfstream Aerospace G500C,50
752,Gulfstream Aerospace Gulfstream G280,50
753,Gulfstream Aerospace Gulfstream G600,50
651,Gulfstream G150,50
648,Gulfstream G200,50
671,Gulfstream G450,50
750,Gulfstream G650,50
778,Gulfstream G700,50
470,Gulfstream I,50
473,Gulfstream I-Commander,50
667,Gulfstream III/V/ G-V Exec/ G-5/550,50
159,Hamilton B-18s Little Liner (Converted),50
468,Handley Page Jetstream,50
495,Hawker Beechcraft Hawker 4000,50
665,Hawker Siddeley 125,50
474,Hawker Siddeley 748,50
34,Helio H-250/295/395,50
664,HFB-320 Hansa,50
891,Honda Ha-420 Hondajet,50
50,Howard DGA-15P,50
317,Hu-1h 204B,50
350,Hughes 300,50
355,Hughes-500/530,50
881,Ilyushiin Il-96-400t,50
876,Ilyushin 62,50
877,Ilyushin 76/TD,50
878,Ilyushin 86,50
879,Ilyushin 96,50
541,Ilyushin Il-18,50
44,Lake LA-4,50
96,Land-Piston-450+ Hp,50
95,Land-Piston-Lt 450 Hp,50
94,Land-Turbine,50
666,Lear 55,50
686,Learjet45,50
870,Lockheed Jetstar,50
240,Lockheed L-049,50
760,Lockheed L-1011-1/100/200,50
765,Lockheed L-1011-500 Tristar,50
247,Lockheed L-1049,50
248,Lockheed L-1049C/D/E,50
252,Lockheed L-1049G/H,50
175,Lockheed L-12A/L-10/10A,50
